lat,lng,img_href,name
8.53638,124.3129,https://lh6.googleusercontent.com/proxy/OJTW6RVU-L4MV4rx5VzALkhPJrwBR0alU4v8EkfOY-p750uv-ngzemoUNRPZOJM7KA,Bobutan_12.0
8.536397,124.3129,https://lh6.googleusercontent.com/proxy/I3l6sEGmQo32KUWET53FanN_RKLTamHC8_E8u9foQoFNK9AZ1ASd8OKbr2mUavv3qA,Bobutan_13.0
8.536327,124.3129,https://lh6.googleusercontent.com/proxy/JTLDeJH3qlo_pudcLPtLxQS3Tl9XRpJi-oT28wpDD4dFkO2d32K3dnpvNeDPWgllpw,Bobutan_14.0
11.51475,79.61503,https://lh6.googleusercontent.com/proxy/BcxK18t17TKMLP7_wciSxy5gIv-jJG6KTC33tlDBIgo9X4W4TI9tpYUwJ13qoZObqA,Kumudimoolai
11.51557,79.61575,https://lh6.googleusercontent.com/proxy/pP3Gg969cUVJWcIWlFHtJHx2gLK8dcPy7Kp6YwMOzwQbUidD0RPD_PDoX2_o6R8-Yg,Kumudimoolai
11.51482,79.61543,https://lh6.googleusercontent.com/proxy/4v3FAw8Wkl2ghIq_S3xmx1KhbYIJcmRQnfZBqKr6GRg2YwbP8W1co3rstx36dZzt2g,Kumudimoolai
11.51575,79.617,https://lh6.googleusercontent.com/proxy/3TcBk15xVwtmgqpPFSGG_6rl3oRyg-uAMa7gCm_qxe8RR5jtffKgJgLVJQM2y_SdrQ,Kumudimoolai
11.51515,79.61743,https://lh6.googleusercontent.com/proxy/njUT6Rooudla3UT-EPvLEKzjf5L5YPwUsnmwUZTD2unYay0vq7Gl6idrSKAFx3cgeQ,Kumudimoolai
11.51527,79.61783,https://lh6.googleusercontent.com/proxy/6rsQSrk_ZJWftbHp5pO9lpH7HfSm7jxPRv2dHqs9q6sL-Yt_Nh__KfZ_YKj1W3PXlQ,Kumudimoolai
11.5145,79.6161,https://lh6.googleusercontent.com/proxy/g7mTLSb_qE7jzrcbmSLjPlN87UKd3aP0C3VFvfejmVxdw0TDHr7q2k42-GXNxV_UGQ,Kumudimoolai
11.51468,79.6174,https://lh6.googleusercontent.com/proxy/_hCqKCQUQX2K596q9nrOgSia3BVFpm2WFIlAkCUueoH89U21bFRbSbP30aRvE__I5A,Kumudimoolai
11.5152,79.61573,https://lh6.googleusercontent.com/proxy/HFqhQ87p7ZkYtTl2yZtWBh8KG8PQ7uywxWVHI4Ht_BOHOek_ogYx-Nv9sngMaMJa6g,Kumudimoolai
11.51472,79.61548,https://lh6.googleusercontent.com/proxy/wzbY6fk3SgT6VDAfbvrho6re4wanhSyd4-5cPcRI_vYx8IG6YcbLq0cjmL2jyEqULA,Kumudimoolai
12.37335,-1.4012,https://lh6.googleusercontent.com/proxy/o4J9AjzzP-gfbftvW3fz1v4ZglSEv2sowK_35DqS-S3qKAf98QYdiJLiBVTc6JzwaQ,Saaba
12.37297,-1.4011,https://lh6.googleusercontent.com/proxy/sIFmnUXCNnpJ1PGhelTjJ4XCPE5-EwlrLfbIDIjum0i4m4Vc2prOTlhUkiJPVVYyNA,Saaba
10.64737,-4.75525,https://lh6.googleusercontent.com/proxy/u5C9nCCKtGf2pcADv5BhIzcvRW3CIK8z0UaVBNt40cieCNqFyJaW9El0V-rSfd8rqA,Banfora
10.64728,-4.75598,https://lh6.googleusercontent.com/proxy/df0_V5_Ipwd0lC9lNSoVSDf_DRd0YrjLs5rIhlyZp3M4RLEV2wEkpuROmgvD8C4ixA,Banfora
10.65915,-4.85,https://lh6.googleusercontent.com/proxy/mD1kJ0xwYmHjdLvEqqIS2AgMPx6h6HUVAJcMlpyw0ery382u0j2xeVK-NHI4RaKxyYKT,Tengrela
10.65645,-4.86313,https://lh6.googleusercontent.com/proxy/gUTJ0zIJhq418sd8wNPKsg63xCf7WKHHnjpxxykq2E_fSSSGHEjkLqg-wzCRLZo7g-c3,Tengrela
